epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,3779.89,0.93018,0.65812,1.30527,0.94977,0.86646,0.9387,0.5874,1.29074,0.61804,1.53611,7.20803e-05,7.20803e-05,7.20803e-05
154,3804.37,0.89898,0.63303,1.28916,0.96945,0.86376,0.9395,0.59096,1.27222,0.61125,1.52495,6.94413e-05,6.94413e-05,6.94413e-05
155,3829.32,0.90218,0.64742,1.2832,0.95959,0.86415,0.94229,0.5904,1.27468,0.60968,1.52264,6.68475e-05,6.68475e-05,6.68475e-05
156,3855.33,0.92282,0.67089,1.30303,0.9303,0.88925,0.94012,0.59579,1.27491,0.61032,1.52829,6.42995e-05,6.42995e-05,6.42995e-05
157,3879.52,0.93527,0.66383,1.30563,0.95527,0.8704,0.9407,0.58795,1.28411,0.61402,1.53189,6.1798e-05,6.1798e-05,6.1798e-05
158,3903.42,0.91308,0.6333,1.27742,0.93041,0.8865,0.93936,0.59713,1.27497,0.60539,1.5217,5.93435e-05,5.93435e-05,5.93435e-05
159,3928.24,0.90227,0.6403,1.28062,0.94811,0.87515,0.93929,0.59882,1.27096,0.60893,1.52647,5.69366e-05,5.69366e-05,5.69366e-05
160,3952.85,0.91244,0.65113,1.28787,0.93559,0.88936,0.93979,0.58871,1.28187,0.60778,1.5405,5.4578e-05,5.4578e-05,5.4578e-05
161,3977.26,0.9019,0.6336,1.2734,0.9366,0.88289,0.94195,0.59282,1.27255,0.60913,1.54874,5.22683e-05,5.22683e-05,5.22683e-05
162,4003.04,0.89107,0.64004,1.27573,0.94961,0.87743,0.94002,0.58607,1.28589,0.60796,1.55314,5.00079e-05,5.00079e-05,5.00079e-05
163,4027.55,0.90554,0.64725,1.29156,0.96,0.87382,0.94402,0.59335,1.27191,0.60936,1.54312,4.77976e-05,4.77976e-05,4.77976e-05
164,4052.52,0.90797,0.64698,1.28145,0.93149,0.89635,0.94434,0.5939,1.27135,0.60886,1.53532,4.56377e-05,4.56377e-05,4.56377e-05
165,4076.91,0.8987,0.63747,1.2881,0.93287,0.89418,0.9429,0.59221,1.28455,0.60322,1.54617,4.35288e-05,4.35288e-05,4.35288e-05
166,4100.65,0.90528,0.65029,1.2815,0.95165,0.87567,0.94415,0.59453,1.27887,0.59687,1.53702,4.14716e-05,4.14716e-05,4.14716e-05
167,4125.17,0.88279,0.61995,1.27383,0.94894,0.87747,0.94193,0.59059,1.28595,0.60564,1.54442,3.94663e-05,3.94663e-05,3.94663e-05
168,4150.92,0.8915,0.63088,1.27905,0.9544,0.86969,0.9393,0.59023,1.27962,0.60057,1.54294,3.75137e-05,3.75137e-05,3.75137e-05
169,4175.75,0.89913,0.6417,1.28096,0.96068,0.87931,0.94432,0.59417,1.28281,0.59713,1.55004,3.56141e-05,3.56141e-05,3.56141e-05
170,4200.33,0.87498,0.61027,1.25622,0.96423,0.87695,0.9451,0.59322,1.27756,0.60271,1.54365,3.3768e-05,3.3768e-05,3.3768e-05
171,4225.55,0.91271,0.64951,1.29686,0.96264,0.8749,0.94481,0.5954,1.28313,0.60456,1.54935,3.19759e-05,3.19759e-05,3.19759e-05
172,4250.26,0.89129,0.63109,1.27519,0.95454,0.87827,0.94453,0.59401,1.27041,0.60525,1.53626,3.02382e-05,3.02382e-05,3.02382e-05
173,4275.71,0.89122,0.63436,1.27694,0.94861,0.8798,0.94091,0.58934,1.28291,0.61188,1.54878,2.85553e-05,2.85553e-05,2.85553e-05
174,4303.99,0.9202,0.6482,1.29021,0.93953,0.88739,0.94175,0.59479,1.2781,0.60695,1.54729,2.69277e-05,2.69277e-05,2.69277e-05
